1447
16610
307
405
0 43 86
0 75 33
0 306 26
0 469 68
0 487 46
0 503 60
0 658 46
0 791 18
0 932 78
0 952 73
0 965 58
0 1121 25
0 1157 53
0 1200 74
0 1286 46
0 1428 29
1 180 25
1 263 81
1 342 73
1 366 9
1 969 64
1 1151 54
1 1235 54
1 1302 56
1 1441 66
2 263 97
2 352 49
2 465 72
2 551 16
2 576 100
2 663 39
2 815 81
2 954 51
2 1275 57
2 1399 25
3 39 61
3 140 50
3 196 90
3 324 29
3 616 34
3 636 36
3 802 76
3 930 88
3 1034 14
3 1096 37
3 1379 49
3 1401 82
4 58 30
4 100 47
4 136 35
4 306 53
4 348 11
4 435 35
4 543 26
4 553 9
4 586 95
4 604 67
4 617 68
4 803 83
4 823 21
4 919 48
4 964 92
4 1006 41
4 1130 60
4 1191 5
4 1199 100
4 1408 72
4 1433 4
5 185 8
5 211 54
5 379 20
5 422 1
5 612 53
5 648 45
5 715 42
5 755 61
5 1081 91
5 1084 66
5 1380 20
5 1390 30
6 22 94
6 215 36
6 235 19
6 236 71
6 333 1
6 383 29
6 393 16
6 632 51
6 713 62
6 838 76
6 904 78
6 976 98
6 1189 96
6 1300 64
6 1415 49
6 1420 98
7 45 84
7 54 64
7 261 60
7 333 52
7 346 66
7 359 44
7 468 87
7 699 13
7 772 57
7 812 79
7 866 48
7 1009 8
7 1026 92
7 1264 89
7 1339 24
7 1431 49
8 24 26
8 400 44
8 541 89
8 711 30
8 880 32
8 956 72
8 1039 36
8 1056 80
8 1088 86
8 1234 94
8 1303 90
8 1342 98
8 1438 11
9 234 83
9 308 96
9 339 71
9 439 55
9 451 34
9 460 36
9 1029 5
9 1273 79
9 1298 21
10 353 37
10 413 14
10 444 66
10 458 42
10 670 79
10 681 73
10 693 97
10 707 85
10 729 67
10 1172 9
10 1316 24
10 1386 73
10 1443 15
11 131 71
11 293 18
11 324 27
11 669 7
11 719 63
11 863 52
11 898 68
11 899 77
11 1095 56
11 1182 68
11 1396 34
12 42 19
12 486 100
12 517 47
12 593 4
12 650 9
12 830 26
12 907 1
12 978 84
12 1040 41
12 1146 15
12 1406 94
13 212 78
13 742 50
13 1032 78
13 1135 37
13 1141 90
13 1171 89
13 1249 15
13 1299 91
13 1399 51
13 1417 58
14 25 6
14 27 16
14 133 8
14 258 69
14 316 79
14 334 43
14 406 19
14 463 62
14 761 60
14 778 57
14 882 56
14 900 53
14 960 58
14 1035 51
15 170 55
15 274 8
15 332 54
15 573 37
15 602 75
15 1084 99
15 1103 93
15 1289 75
15 1319 12
16 314 69
16 641 78
16 649 11
16 672 29
16 889 80
16 1090 37
17 47 73
17 108 21
17 165 78
17 209 25
17 321 81
17 416 54
17 567 75
17 571 19
17 1045 54
17 1307 12
18 394 55
18 621 11
18 816 65
18 832 3
18 975 50
18 1201 41
18 1307 82
19 103 38
19 252 99
19 466 29
19 602 85
19 1281 53
19 1345 1
20 44 15
20 56 16
20 369 61
20 414 48
20 706 84
20 714 33
20 802 77
20 1037 95
20 1070 66
20 1125 24
20 1169 71
20 1286 20
20 1346 96
20 1430 45
21 272 47
21 315 97
21 489 47
21 777 8
21 1069 48
21 1205 56
21 1209 62
21 1281 70
21 1291 74
22 6 94
22 285 35
22 331 85
22 797 93
22 862 46
22 911 52
22 1034 18
22 1046 86
22 1064 32
22 1074 49
22 1110 63
22 1149 3
22 1172 98
22 1189 24
22 1274 83
22 1436 99
23 77 84
23 146 62
23 595 5
23 749 36
23 766 54
23 866 67
23 883 100
23 990 15
24 8 26
24 49 8
24 75 64
24 145 77
24 153 19
24 209 54
24 368 27
24 378 77
24 458 87
24 545 99
24 635 81
24 649 93
24 651 70
24 835 92
24 863 2
24 871 10
24 1016 17
24 1105 22
24 1126 78
24 1182 2
24 1320 94
24 1360 23
25 14 6
25 32 67
25 234 69
25 264 63
25 459 82
25 482 85
25 513 44
25 578 82
25 632 75
25 767 70
25 821 96
25 1067 43
25 1108 64
25 1132 35
26 266 16
26 410 15
26 595 43
26 876 64
26 920 52
26 1254 54
26 1313 77
26 1410 92
27 14 16
27 157 91
27 176 68
27 204 81
27 286 53
27 314 3
27 472 93
27 610 70
27 635 60
27 985 49
27 1094 82
27 1234 28
28 109 49
28 140 43
28 307 8
28 528 3
28 678 89
28 866 66
28 1317 67
29 39 76
29 282 42
29 291 11
29 464 22
29 700 6
29 748 46
29 855 99
29 1015 13
29 1121 95
29 1402 11
30 151 40
30 173 37
30 404 60
30 519 87
30 540 4
30 623 31
30 695 90
30 778 19
30 852 98
30 884 29
30 1227 19
30 1236 81
30 1249 36
30 1334 26
30 1403 23
31 293 55
31 467 67
31 543 77
31 672 68
31 801 62
31 944 70
31 949 7
31 1110 72
31 1255 13
31 1259 48
31 1384 1
32 25 67
32 131 35
32 157 12
32 456 20
32 599 42
32 802 71
32 1020 52
32 1123 28
32 1204 10
32 1205 45
32 1442 93
33 76 40
33 121 84
33 130 76
33 584 46
33 709 76
33 718 82
33 727 49
33 1156 42
33 1219 13
33 1264 19
33 1310 59
34 88 53
34 249 80
34 280 6
34 309 50
34 369 59
34 595 76
34 1012 97
34 1052 70
34 1394 42
35 100 57
35 418 83
35 602 45
35 611 5
35 786 71
35 926 63
35 963 39
35 1396 1
36 41 32
36 253 89
36 447 16
36 536 50
36 551 8
36 725 46
36 780 81
36 1000 24
36 1236 16
36 1348 87
37 99 59
37 197 75
37 283 62
37 360 98
37 682 35
37 809 4
37 967 1
37 1087 20
