149
582
39
129
0 1 2
0 3 8
0 19 10
0 63 1
0 97 5
0 98 3
0 41 2
1 0 2
1 3 5
1 5 9
1 24 8
1 66 4
1 69 2
1 117 5
2 11 3
2 50 2
2 72 3
2 100 2
2 114 9
3 0 8
3 1 5
3 48 7
3 87 4
4 42 2
4 128 2
5 1 9
5 6 3
5 25 1
5 45 1
5 69 5
5 97 3
5 137 8
5 141 4
6 5 3
6 25 4
6 42 6
6 119 7
6 134 1
6 148 3
7 11 7
7 15 10
7 117 5
7 122 2
8 45 8
8 53 3
8 140 2
8 148 1
9 26 9
9 62 8
9 133 6
10 79 8
11 2 3
11 7 7
11 103 4
11 104 6
12 32 3
12 130 9
13 87 6
13 92 5
13 102 5
14 58 5
14 101 10
14 135 10
14 144 8
15 7 10
15 29 3
15 38 6
15 95 7
15 136 2
16 31 7
16 54 6
16 71 6
16 89 6
16 122 3
16 147 3
17 20 4
17 44 2
17 50 2
17 76 7
17 141 10
18 53 3
18 55 4
18 70 7
18 72 7
18 106 6
18 108 3
19 0 10
19 78 8
19 99 9
19 104 5
19 133 6
19 148 1
20 17 4
20 49 2
20 60 1
20 71 3
20 83 7
20 89 1
20 100 8
20 137 5
21 95 9
21 104 9
21 111 4
21 138 5
22 59 2
22 102 1
22 110 7
22 127 3
23 75 1
24 1 8
24 61 8
24 104 6
25 5 1
25 6 4
25 60 6
25 62 3
25 117 3
26 9 9
26 110 10
26 112 8
27 34 4
27 63 9
28 57 3
28 96 8
28 116 6
29 15 3
29 31 3
29 40 6
29 70 5
30 61 5
30 79 7
31 16 7
31 29 3
31 96 8
31 114 4
32 12 3
32 74 4
32 148 9
33 50 3
33 104 9
34 27 4
34 68 9
34 87 6
34 127 10
34 130 6
34 134 9
35 64 3
35 88 1
35 104 3
35 106 9
35 124 2
36 121 5
37 84 6
37 111 5
37 146 4
38 15 6
38 88 7
38 94 1
38 146 7
38 147 5
39 112 1
40 29 6
40 61 7
40 109 8
41 0 2
42 4 2
42 6 6
42 44 10
42 91 7
42 105 5
42 107 1
43 144 6
44 17 2
44 42 10
45 5 1
45 8 8
45 53 5
45 79 3
45 93 4
