156
682
67
75
0 3 6
0 5 7
0 14 9
0 144 9
0 151 5
1 35 5
1 82 4
1 90 10
1 127 7
1 128 7
2 102 5
2 134 7
3 0 6
3 14 1
3 18 3
3 43 7
3 59 6
3 65 5
3 85 8
3 115 3
3 125 8
4 20 4
4 112 8
5 0 7
5 64 4
5 69 7
5 146 6
6 15 8
6 19 5
6 38 7
6 122 7
6 127 1
6 150 9
7 17 10
7 48 9
7 126 8
8 16 7
8 61 2
8 77 10
8 83 7
8 102 9
8 125 5
8 150 4
9 22 3
9 25 6
9 58 2
9 61 9
9 62 3
9 98 2
9 129 8
9 131 10
10 22 1
10 39 5
10 47 6
10 91 4
10 105 10
10 132 2
11 105 7
11 110 1
11 129 3
11 137 4
11 143 2
11 144 8
11 155 6
12 24 7
12 119 7
12 149 10
13 24 6
13 36 3
14 0 9
14 3 1
14 68 6
14 73 2
14 98 9
14 125 4
14 126 5
14 145 8
14 153 10
15 6 8
15 49 8
15 60 1
15 88 5
15 104 9
15 107 3
15 110 4
15 123 3
16 8 7
16 32 8
16 154 10
17 7 10
17 109 9
17 135 6
18 3 3
18 57 1
18 98 7
18 107 9
19 6 5
19 92 3
20 4 4
21 75 7
21 120 3
21 134 9
21 138 4
21 143 2
21 149 6
21 154 6
22 9 3
22 10 1
22 39 9
23 46 5
23 61 7
23 85 2
24 12 7
24 13 6
24 45 5
24 104 7
24 116 3
25 9 6
25 31 7
25 54 9
25 75 1
25 98 8
25 139 3
25 150 4
26 46 4
26 84 6
26 87 3
26 88 8
27 83 1
27 121 6
27 136 2
27 144 4
27 147 9
28 45 4
28 56 3
28 83 5
29 129 1
30 37 7
30 75 3
30 76 5
30 126 4
31 25 7
31 54 10
31 85 10
31 154 4
31 155 7
32 16 8
32 86 7
32 105 10
32 113 10
32 140 10
33 61 2
33 94 1
33 103 10
33 119 1
34 114 3
34 118 6
35 1 5
35 55 7
35 80 4
35 114 8
35 124 5
36 13 3
36 120 6
37 30 7
37 39 8
37 78 5
37 86 4
37 88 3
37 129 1
37 153 3
38 6 7
38 62 6
38 74 9
38 79 5
38 104 3
39 10 5
39 22 9
39 37 8
39 51 1
39 108 6
39 123 1
40 86 7
40 120 8
41 43 2
41 49 8
41 55 6
41 90 7
41 150 1
42 86 8
42 138 3
42 144 10
43 3 7
43 41 2
43 72 1
44 45 10
44 46 3
45 24 5
45 28 4
45 44 10
45 50 5
45 65 9
45 80 4
45 88 7
45 143 4
46 23 5
46 26 4
46 44 3
46 55 9
46 64 10
47 10 6
47 51 7
47 118 10
48 7 9
48 87 5
48 94 1
48 121 9
49 15 8
49 41 8
49 87 4
49 88 3
49 116 2
50 45 5
50 94 2
50 142 10
51 39 1
51 47 7
51 94 8
51 110 4
51 142 10
51 147 4
52 103 3
52 107 6
52 121 6
52 139 4
52 145 3
53 127 4
53 155 9
54 25 9
54 31 10
54 107 8
54 114 4
54 149 10
55 35 7
55 41 6
55 46 9
55 67 4
55 119 6
55 130 3
55 146 8
56 28 3
56 72 1
56 94 2
57 18 1
57 91 3
58 9 2
59 3 6
59 92 7
59 98 4
59 106 5
60 15 1
60 87 5
60 120 1
60 128 1
60 147 2
61 8 2
61 9 9
61 23 7
61 33 2
61 94 1
62 9 3
62 38 6
62 105 1
63 114 10
63 134 4
64 5 4
64 46 10
64 117 10
64 140 10
65 3 5
65 45 9
65 81 9
65 84 9
65 96 5
65 125 2
65 134 4
66 84 3
66 136 10
67 55 4
68 14 6
68 102 7
69 5 7
69 70 8
69 98 7
69 100 1
69 120 5
70 69 8
71 77 3
71 79 10
71 140 2
72 43 1
72 56 1
73 14 2
73 79 2
73 126 8
73 133 3
73 137 6
74 38 9
74 106 8
75 21 7
75 25 1
75 30 3
75 77 8
75 113 7
75 114 3
76 30 5
76 86 2
76 108 10
77 8 10
77 71 3
77 75 8
77 91 4
77 117 5
77 126 3
77 134 10
77 155 7
78 37 5
78 81 4
78 111 3
78 117 7
79 38 5
79 71 10
79 73 2
79 95 2
79 104 2
79 107 3
79 124 10
80 35 4
80 45 4
80 91 10
80 123 5
81 65 9
81 78 4
81 89 8
82 1 4
82 85 5
83 8 7
83 27 1
83 28 5
84 26 6
84 65 9
84 66 3
85 3 8
85 23 2
85 31 10
85 82 5
85 115 4
85 148 9
86 32 7
86 37 4
86 40 7
86 42 8
86 76 2
87 26 3
87 48 5
87 49 4
87 60 5
87 114 4
87 142 9
88 15 5
88 26 8
88 37 3
88 45 7
88 49 3
88 105 1
88 137 9
89 81 8
89 90 9
89 95 1
89 125 5
90 1 10
90 41 7
90 89 9
90 92 4
90 95 1
90 99 4
90 116 5
91 10 4
91 57 3
91 77 4
91 80 10
91 97 5
92 19 3
92 59 7
92 90 4
92 117 6
92 150 9
93 146 6
94 33 1
94 48 1
94 50 2
94 51 8
94 56 2
94 61 1
95 79 2
95 89 1
95 90 1
96 65 5
96 120 6
96 127 10
96 129 9
96 130 3
97 91 5
97 111 8
98 9 2
98 14 9
98 18 7
98 25 8
98 59 4
98 69 7
98 107 6
98 144 10
99 90 4
99 116 6
99 121 5
99 128 1
99 129 9
99 145 2
99 153 8
100 69 1
100 149 2
101 103 3
101 113 5
101 130 7
102 2 5
102 8 9
102 68 7
102 120 1
103 33 10
103 52 3
103 101 3
103 147 6
103 149 2
104 15 9
104 24 7
104 38 3
104 79 2
104 124 5
104 155 2
105 10 10
105 11 7
105 32 10
105 62 1
105 88 1
105 124 8
106 59 5
106 74 8
106 144 4
107 15 3
107 18 9
107 52 6
107 54 8
107 79 3
107 98 6
108 39 6
108 76 10
108 143 6
108 152 7
109 17 9
109 129 2
110 11 1
110 15 4
110 51 4
110 122 9
110 124 2
110 126 1
111 78 3
111 97 8
111 117 9
111 126 1
112 4 8
112 140 9
113 32 10
113 75 7
113 101 5
114 34 3
114 35 8
114 54 4
114 63 10
114 75 3
114 87 4
114 115 5
114 127 6
114 141 10
115 3 3
115 85 4
115 114 5
115 118 4
115 141 9
116 24 3
116 49 2
116 90 5
116 99 6
116 117 10
116 136 3
116 142 7
117 64 10
117 77 5
117 78 7
117 92 6
117 111 9
117 116 10
117 140 9
117 146 4
118 34 6
118 47 10
118 115 4
118 135 4
119 12 7
119 33 1
119 55 6
120 21 3
120 36 6
120 40 8
120 60 1
120 69 5
120 96 6
120 102 1
120 123 6
121 27 6
121 48 9
121 52 6
121 99 5
121 149 5
122 6 7
122 110 9
123 15 3
123 39 1
123 80 5
123 120 6
124 35 5
124 79 10
124 104 5
124 105 8
124 110 2
124 126 1
124 149 10
125 3 8
125 8 5
125 14 4
125 65 2
125 89 5
125 147 1
126 7 8
126 14 5
126 30 4
126 73 8
126 77 3
126 110 1
126 111 1
126 124 1
127 1 7
127 6 1
127 53 4
127 96 10
127 114 6
128 1 7
128 60 1
128 99 1
129 9 8
129 11 3
129 29 1
129 37 1
129 96 9
129 99 9
129 109 2
129 154 10
130 55 3
130 96 3
130 101 7
130 133 7
130 142 8
131 9 10
131 142 7
131 154 5
132 10 2
132 147 2
133 73 3
133 130 7
133 142 1
134 2 7
134 21 9
134 63 4
134 65 4
134 77 10
135 17 6
135 118 4
136 27 2
136 66 10
136 116 3
137 11 4
137 73 6
137 88 9
137 143 8
138 21 4
138 42 3
139 25 3
139 52 4
140 32 10
140 64 10
140 71 2
140 112 9
140 117 9
140 145 1
140 154 8
141 114 10
141 115 9
141 153 10
142 50 10
142 51 10
142 87 9
142 116 7
142 130 8
142 131 7
142 133 1
143 11 2
143 21 2
143 45 4
143 108 6
143 137 8
144 0 9
144 11 8
144 27 4
144 42 10
144 98 10
144 106 4
145 14 8
145 52 3
145 99 2
145 140 1
146 5 6
146 55 8
146 93 6
146 117 4
146 154 2
147 27 9
147 51 4
147 60 2
147 103 6
147 125 1
147 132 2
148 85 9
149 12 10
149 21 6
149 54 10
149 100 2
149 103 2
149 121 5
149 124 10
150 6 9
150 8 4
150 25 4
150 41 1
150 92 9
151 0 5
152 108 7
153 14 10
153 37 3
153 99 8
153 141 10
154 16 10
154 21 6
154 31 4
154 129 10
154 131 5
154 140 8
154 146 2
155 11 6
155 31 7
155 53 9
155 77 7
155 104 2
